code;naamLang;naamMiddel;naamKort
HT;'s-Hertogenbosch;'s-Hertogenbosch;Den Bosch
HTO;'s-Hertogenbosch Oost;Hertogenbosch O.;Dn Bosch O
HDE;'t Harde;'t Harde;'t Harde
AHBF;Aachen Hbf;Aachen Hbf;Aachen
ATN;Aalten;Aalten;Aalten
AC;Abcoude;Abcoude;Abcoude
EAHS;Ahaus;Ahaus;Ahaus
AIME;Aime-la-Plagne;Aime-la-Plagne;Aime-la-Pl
AIXTGV;Aix-en-Provence;Aix-en-Provence;Aix-en-Pro
AKM;Akkrum;Akkrum;Akkrum
ALBERT;Albertville;Albertville;Albertv.
ALESS;Alessandria;Alessandria;Alessandr.
AMR;Alkmaar;Alkmaar;Alkmaar
AMRN;Alkmaar Noord;Alkmaar Noord;Alkmaar N
AML;Almelo;Almelo;Almelo
AMRI;Almelo de Riet;Almelo de Riet;de Riet
ALMB;Almere Buiten;Almere Buiten;Buiten
ALM;Almere Centrum;Almere C.;Almere C
ALMM;Almere Muziekwijk;Muziekwijk;Muziekwijk
ALMO;Almere Oostvaarders;Oostvaarders;Oostvaard
ALMP;Almere Parkwijk;Almere Parkwijk;Parkwijk
AMPO;Almere Poort;Almere Poort;Almere Prt
APN;Alphen a/d Rijn;Alphen a/d Rijn;Alphen
EABG;Altenberge;Altenberge;Altenberge
AMF;Amersfoort;Amersfoort;Amersfoort
AMFS;Amersfoort Schothorst;Schothorst;Schothorst
AVAT;Amersfoort Vathorst;Vathorst;Vathorst
ASA;Amsterdam Amstel;Amsterdam Amstel;Amstel
ASB;Amsterdam Bijlmer ArenA;Bijlmer ArenA;Bijlmer A
ASD;Amsterdam Centraal;Amsterdam CS;Amsterdam
ASHD;Amsterdam Holendrecht;Holendrecht;Holendrcht
ASDL;Amsterdam Lelylaan;Lelylaan;Lelylaan
ASDM;Amsterdam Muiderpoort;Muiderpoort;Muiderprt
RAI;Amsterdam RAI;Amsterdam RAI;RAI
ASSP;Amsterdam Science Park;Science Park;Scienceprk
ASS;Amsterdam Sloterdijk;Sloterdijk;Sloterdijk
VMW;Amsterdam Van der Madeweg;Van der Madeweg;vd Madeweg
ASDZ;Amsterdam Zuid;Amsterdam Zuid;Amsterdm Z
ANA;Anna Paulowna;Anna Paulowna;Anna Paulo
BERCH;Antwerpen-Berchem;Antw-Berchem;Antw-Berch
ATW;Antwerpen-Centraal;Antwerpen-C.;Antwerpen
ATWLB;Antwerpen-Luchtbal;Antw-Luchtbal;Antw-Bal
ANDD;Antwerpen-Noorderdokken;Antw-N'dokken;Antw-dok
FNZD;Antwerpen-Zuid;Antwerpen-Zuid;Antw-Zuid
APD;Apeldoorn;Apeldoorn;Apeldoorn
APDM;Apeldoorn De Maten;De Maten;De Maten
APDO;Apeldoorn Osseveld;Osseveld;Osseveld
APG;Appingedam;Appingedam;Appingedam
