code;naamLang;lat;lon
HT;'s-Hertogenbosch;51.69048;5.29362
HTO;'s-Hertogenbosch Oost;51.700553894043;5.3183331489563
HDE;'t Harde;52.4091682;5.893611
AHBF;Aachen Hbf;50.7678;6.091499
ATN;Aalten;51.9213265245505;6.57862722873687
AC;Abcoude;52.2785;4.977
EAHS;Ahaus;52.079796120944;7.01635837554931
AIME;Aime-la-Plagne;45.55438;6.64869
AIXTGV;Aix-en-Provence;43.5228190773429;5.44531345367431
AKM;Akkrum;53.0463905334473;5.84361124038696
ALBERT;Albertville;45.67302;6.38306
ALESS;Alessandria;44.90927;8.60649
AMR;Alkmaar;52.6377792358398;4.73972225189209
AMRN;Alkmaar Noord;52.6438903808594;4.76416683197022
AML;Almelo;52.3580551147461;6.65388870239258
AMRI;Almelo de Riet;52.3419456481934;6.66666650772095
ALMB;Almere Buiten;52.3941650390625;5.2780556678772
ALM;Almere Centrum;52.37503;5.21764
ALMM;Almere Muziekwijk;52.3675003051758;5.19027757644653
ALMO;Almere Oostvaarders;52.4033317565918;5.30055570602417
ALMP;Almere Parkwijk;52.3766670227051;5.24472236633301
AMPO;Almere Poort;52.342778;5.151944
APN;Alphen a/d Rijn;52.1244430541992;4.65777778625488
EABG;Altenberge;52.05223;7.481202
AMF;Amersfoort;52.1538887023926;5.37055540084839
AMFS;Amersfoort Schothorst;52.1748221374512;5.40388870239258
AVAT;Amersfoort Vathorst;52.1927795410156;5.43388891220093
ASA;Amsterdam Amstel;52.3466682434082;4.91777801513672
ASB;Amsterdam Bijlmer ArenA;52.3122215270996;4.94694423675537
ASD;Amsterdam Centraal;52.3788871765137;4.90027761459351
ASHD;Amsterdam Holendrecht;52.29844;4.95972
ASDL;Amsterdam Lelylaan;52.3577766418457;4.83388900756836
ASDM;Amsterdam Muiderpoort;52.3605537414551;4.93111133575439
RAI;Amsterdam RAI;52.3372230529785;4.89027786254883
ASSP;Amsterdam Science Park;52.35526;4.94651
ASS;Amsterdam Sloterdijk;52.3888893127441;4.83777761459351
VMW;Amsterdam Van der Madeweg;52.330134;4.92975
ASDZ;Amsterdam Zuid;52.3388900756836;4.871666431427
ANA;Anna Paulowna;52.8672218322754;4.81111097335815
BERCH;Antwerpen-Berchem;51.2001783;4.4327702
ATW;Antwerpen-Centraal;51.2161;4.42122
ATWLB;Antwerpen-Luchtbal;51.2449375;4.4251543
ANDD;Antwerpen-Noorderdokken;51.261686;4.4274315
FNZD;Antwerpen-Zuid;51.19785;4.39027
APD;Apeldoorn;52.2091674804687;5.97027778625488
APDM;Apeldoorn De Maten;52.2052764892578;6.00055551528931
APDO;Apeldoorn Osseveld;52.2152786254883;6.00444459915161
APG;Appingedam;53.3258135;6.8619577
